결과파일,열명,설명
runs/pet_api_20260919_183904/places.csv,content_id,API 콘텐츠 ID. 중복 제거 키. 업소명 기준 중복 제거가 아님.
runs/pet_api_20260919_183904/places.csv,content_type_id,목록 유형. 현재 숙박 32/음식점 39 사용.
runs/pet_api_20260919_183904/places.csv,title,시설 콘텐츠 이름.
runs/pet_api_20260919_183904/places.csv,addr1,기본 주소.
runs/pet_api_20260919_183904/places.csv,addr2,상세 주소.
runs/pet_api_20260919_183904/places.csv,area_code,반려동물 TourAPI 관광지역 코드. 방문자 행정코드와 다름.
runs/pet_api_20260919_183904/places.csv,sigungu_code,반려동물 API 지역 내 시군구 코드. 방문자 signguCode와 직접 조인하지 않음.
runs/pet_api_20260919_183904/places.csv,mapx,경도 문자열. 수집 단계에서 숫자 변환/좌표 검증을 하지 않음.
runs/pet_api_20260919_183904/places.csv,mapy,위도 문자열. 부족순위 계산에는 사용하지 않음.
runs/pet_api_20260919_183904/places.csv,query_area_code,수집 요청 areaCode. 수집기에서 추가.
runs/pet_api_20260919_183904/places.csv,query_content_type_id,수집 요청 contentTypeId. 원문 유형이 없을 때 대체값.
runs/pet_api_20260919_183904/places.csv,source_file,시설 조회에 속한 원문 페이지 상대경로. 다중 페이지라면 세미콜론 연결.
runs/pet_supply_20260919_184024/pet_facilities_deduplicated.csv,content_id,API 콘텐츠 ID. 중복 제거 키. 업소명 기준 중복 제거가 아님.
runs/pet_supply_20260919_184024/pet_facilities_deduplicated.csv,content_type_id,목록 유형. 현재 숙박 32/음식점 39 사용.
runs/pet_supply_20260919_184024/pet_facilities_deduplicated.csv,category,content_type_id로 정한 lodging 또는 restaurant.
runs/pet_supply_20260919_184024/pet_facilities_deduplicated.csv,region_code,방문자 API 기준 행정지역 코드. 시설은 주소 분류 후 해당 후보 코드를 부여.
runs/pet_supply_20260919_184024/pet_facilities_deduplicated.csv,region_name,후보 도시 이름.
